date,close,vol_usd,vol_btc,fed_rate,gold_usd,kospi,ex_rate
2014-07-31,598.780029,5356663,8945.961355701795,0.09,1285.25,2076.12,1024.3
2014-08-01,591.719971,1278807,2161.169239968073,0.09,1291.25,2073.1,1026.2
2014-08-02,588.9400019999999,752201,1277.2115961652746,0.09,1291.25,2073.1,1026.2
2014-08-03,592.77002,2047890,3454.779983643572,0.09,1291.25,2073.1,1026.2
2014-08-04,588.76001,2429310,4126.146407260235,0.09,1290.5,2080.42,1033.7
2014-08-05,589.77002,1785940,3028.197330206781,0.09,1284.75,2066.26,1031.7
2014-08-06,592.799988,1485017,2505.08945691814,0.09,1306.5,2060.73,1030.8
2014-08-07,595.849976,1873039,3143.474155313216,0.09,1305.25,2054.51,1034.3
2014-08-08,589.52002,843722,1431.201607029393,0.09,1309.75,2031.1,1034.4
2014-08-09,592.0599980000001,796584,1345.4447229856592,0.09,1309.75,2031.1,1034.4
2014-08-10,575.8900150000001,1512262,2625.9562774325923,0.09,1309.75,2031.1,1034.4
2014-08-11,567.659973,1894843,3337.9894481304214,0.09,1307.25,2039.37,1037.4
2014-08-12,542.099976,2659458,4905.844157425309,0.09,1315.75,2041.47,1030.6
2014-08-13,504.799988,5608470,11110.281563635854,0.09,1312.0,2062.36,1028.3
2014-08-14,496.450012,2407799,4850.033118742275,0.09,1313.5,2063.22,1028.1
2014-08-15,522.01001,1956441,3747.899393730017,0.09,1296.0,2063.22,1028.1
2014-08-16,485.5,1584568,3263.7857878475797,0.09,1296.0,2063.22,1028.1
2014-08-17,462.17999299999997,2991012,6471.530670519527,0.09,1296.0,2063.22,1028.1
2014-08-18,485.119995,2458098,5066.989663042027,0.09,1296.75,2053.13,1024.9
2014-08-19,516.780029,2965577,5738.567346997846,0.09,1296.5,2071.14,1017.7
2014-08-20,517.9400019999999,2974478,5742.900699915433,0.09,1295.0,2072.78,1018.0
2014-08-21,516.099976,3116862,6039.26011420702,0.09,1275.25,2044.21,1020.9
2014-08-22,497.67999299999997,1596652,3208.190046731495,0.09,1277.25,2056.7,1023.9
2014-08-23,509.709991,1294320,2539.326328410149,0.09,1277.25,2056.7,1023.9
2014-08-24,502.92999299999997,1409621,2802.8175285223047,0.09,1277.25,2056.7,1023.9
2014-08-25,512.5599980000001,1831000,3572.2647244118334,0.09,1277.25,2060.89,1019.5
2014-08-26,515.22998,1982424,3847.648772301643,0.09,1286.0,2068.05,1020.6
2014-08-27,510.75,2307082,4517.047479197259,0.09,1282.75,2074.93,1018.0
2014-08-28,512.5599980000001,1876846,3661.7098628910167,0.09,1292.0,2075.76,1014.6
2014-08-29,505.959991,1337420,2643.331535674725,0.09,1285.75,2068.54,1013.6
2014-08-30,481.77999900000003,2982601,6190.794566380494,0.09,1285.75,2068.54,1013.6
2014-08-31,477.19000199999994,3261178,6834.128934662802,0.09,1285.75,2068.54,1013.6
2014-09-01,478.94000199999994,3291738,6872.9652696664925,0.09,1286.5,2067.86,1014.9
2014-09-02,480.040009,3018772,6288.584166741818,0.09,1267.0,2051.58,1014.3
2014-09-03,490.98999000000003,4345165,8849.803638562977,0.09,1265.5,2051.2,1015.6
2014-09-04,483.64999400000005,3013185,6230.0941535833035,0.09,1271.5,2056.26,1018.9
2014-09-05,484.47000099999997,1883095,3886.917654577337,0.09,1266.0,2049.41,1018.0
2014-09-06,485.75,1755360,3613.7107565620177,0.09,1266.0,2049.41,1018.0
2014-09-07,475.69000199999994,3948928,8301.473613902022,0.09,1266.0,2049.41,1018.0
2014-09-08,474.89999400000005,3529051,7431.145598203565,0.09,1259.0,2049.41,1018.0
2014-09-09,479.700012,4058785,8461.090053089263,0.09,1255.75,2049.41,1018.0
2014-09-10,478.48999000000003,3086920,6451.378429045088,0.09,1251.0,2049.41,1018.0
2014-09-11,477.73001100000005,2514548,5263.533674044187,0.09,1241.25,2034.16,1024.6
2014-09-12,478.170013,2569793,5374.224502028738,0.09,1231.5,2041.86,1034.4
2014-09-13,477.73999000000003,2031789,4252.917994158286,0.09,1231.5,2041.86,1034.4
2014-09-14,477.709991,2753462,5763.877774957401,0.09,1231.5,2041.86,1034.4
2014-09-15,466.75,3139554,6726.4145688269955,0.09,1234.25,2035.82,1038.0
2014-09-16,461.089996,3522262,7638.99028509827,0.09,1232.25,2042.92,1038.9
2014-09-17,424.26000999999997,3946908,9303.040369041617,0.09,1236.0,2062.61,1035.2
2014-09-18,397.670013,6062707,15245.572464122408,0.09,1220.5,2047.74,1033.9
2014-09-19,411.52999900000003,5919676,14384.555231415825,0.09,1219.75,2053.82,1041.5
2014-09-20,401.619995,4229727,10531.66439086281,0.09,1219.75,2053.82,1041.5
2014-09-21,404.089996,5531782,13689.48020183108,0.09,1219.75,2053.82,1041.5
2014-09-22,436.85998499999994,7490861,17147.052275799535,0.09,1213.5,2039.27,1044.9
2014-09-23,423.76998899999995,9217984,21752.328478362353,0.09,1222.0,2028.91,1040.7
2014-09-24,412.290009,6143388,14900.647277145152,0.09,1217.25,2035.64,1042.1
2014-09-25,404.459991,4966479,12279.283762333862,0.09,1213.75,2034.11,1039.8
2014-09-26,399.019989,3950428,9900.326071133242,0.09,1213.75,2031.64,1042.6
2014-09-27,379.079987,5453338,14385.718547573972,0.09,1213.75,2031.64,1042.6
2014-09-28,376.769989,7924759,21033.4135715889,0.09,1213.75,2031.64,1042.6
2014-09-29,388.170013,6520432,16797.8766561754,0.09,1219.5,2026.6,1042.7
2014-09-30,382.839996,6892843,18004.500762767744,0.09,1216.5,2020.09,1050.6
2014-10-01,375.140015,5471103,14584.162662572799,0.09,1216.5,1991.54,1054.7
2014-10-02,363.450012,6278574,17274.931332235035,0.09,1211.75,1976.16,1062.1
2014-10-03,335.320007,8050734,24009.10721679664,0.09,1195.0,1976.16,1062.1
2014-10-04,322.859985,9512572,29463.459214371207,0.09,1195.0,1976.16,1062.1
2014-10-05,331.549988,13642089,41146.40173052879,0.09,1195.0,1976.16,1062.1
2014-10-06,331.649994,10076018,30381.4810260482,0.09,1195.75,1968.39,1061.1
2014-10-07,350.869995,7413499,21128.905593651572,0.09,1210.5,1972.91,1069.7
2014-10-08,360.910004,13020038,36075.580769991626,0.09,1217.0,1965.25,1066.5
2014-10-09,361.709991,10394856,28738.09476830293,0.09,1226.75,1965.25,1066.5
