date,ex_rate
2016-03-08,1200.7
2016-03-09,1205.2
2016-03-10,1214.5
2016-03-11,1208.8
2016-03-12,1208.8
2016-03-13,1208.8
2016-03-14,1200.1
2016-03-15,1186.5
2016-03-16,1189.2
2016-03-17,1192.7
2016-03-18,1174.5
2016-03-19,1174.5
2016-03-20,1174.5
2016-03-21,1161.3
2016-03-22,1165.3
2016-03-23,1159.5
2016-03-24,1158.8
2016-03-25,1167.1
2016-03-26,1167.1
2016-03-27,1167.1
2016-03-27,1167.1
2016-03-28,1169.4
2016-03-29,1169.6
2016-03-30,1163.0
2016-03-31,1153.5
2016-04-01,1144.5
2016-04-02,1144.5
2016-04-03,1144.5
2016-04-04,1148.9
2016-04-05,1147.8
2016-04-06,1155.0
2016-04-07,1155.9
2016-04-08,1154.5
2016-04-09,1154.5
2016-04-10,1154.5
2016-04-11,1156.5
2016-04-12,1149.2
2016-04-13,1149.2
2016-04-14,1144.7
2016-04-15,1153.4
2016-04-16,1153.4
2016-04-17,1153.4
2016-04-18,1150.7
2016-04-19,1151.1
2016-04-20,1140.5
2016-04-21,1132.3
2016-04-22,1134.9
2016-04-23,1134.9
2016-04-24,1134.9
2016-04-25,1141.1
2016-04-26,1149.7
2016-04-27,1149.7
2016-04-28,1145.9
2016-04-29,1143.9
2016-04-30,1143.9
2016-05-01,1143.9
2016-05-02,1138.1
2016-05-03,1140.8
2016-05-04,1137.1
2016-05-05,1137.1
2016-05-06,1137.1
2016-05-07,1137.1
2016-05-08,1137.1
2016-05-09,1153.5
2016-05-10,1164.7
2016-05-11,1174.0
2016-05-12,1168.1
2016-05-13,1164.1
2016-05-14,1164.1
2016-05-15,1164.1
2016-05-16,1169.4
2016-05-17,1178.6
2016-05-18,1173.3
2016-05-19,1180.9
2016-05-20,1190.8
2016-05-21,1190.8
2016-05-22,1190.8
2016-05-23,1188.4
2016-05-24,1183.1
2016-05-25,1188.6
2016-05-26,1185.8
2016-05-27,1181.0
2016-05-28,1181.0
2016-05-29,1181.0
2016-05-30,1179.3
2016-05-31,1190.6
2016-06-01,1190.5
2016-06-02,1192.2
2016-06-03,1189.6
2016-06-04,1189.6
2016-06-05,1189.6
2016-06-06,1189.6
2016-06-07,1186.5
2016-06-08,1163.2
2016-06-09,1156.5
2016-06-10,1155.8
2016-06-11,1155.8
2016-06-12,1155.8
2016-06-13,1163.1
2016-06-14,1172.8
2016-06-15,1172.5
2016-06-16,1176.3
2016-06-17,1170.1
2016-06-18,1170.1
2016-06-19,1170.1
2016-06-20,1170.8
2016-06-21,1163.2
2016-06-22,1158.2
2016-06-23,1155.7
2016-06-24,1151.2
2016-06-25,1151.2
2016-06-26,1151.2
2016-06-27,1168.5
2016-06-28,1183.3
2016-06-29,1175.9
2016-06-30,1164.7
2016-07-01,1152.6
2016-07-02,1152.6
2016-07-03,1152.6
2016-07-04,1147.5
2016-07-05,1148.1
2016-07-06,1153.0
2016-07-07,1165.8
2016-07-08,1156.6
2016-07-09,1156.6
2016-07-10,1156.6
2016-07-11,1159.2
2016-07-12,1147.8
2016-07-13,1149.3
2016-07-14,1145.7
2016-07-15,1141.8
2016-07-16,1141.8
2016-07-17,1141.8
2016-07-18,1132.7
